character #1, character #2, similarity
l, Z, 0.3875991753338188
Z, l, 0.3875991753338188
y, Z, 0.4677888025546184
Z, y, 0.4677888025546184
L, Z, 0.3190033666758821
Z, L, 0.3190033666758821
Y, Z, 0.4277508212804475
Z, Y, 0.4277508212804475
8, Z, 0.5652496295547611
Z, 8, 0.5652496295547611
N, Z, 0.44350138521632837
Z, N, 0.44350138521632837
u, Z, 0.33171106132370476
Z, u, 0.33171106132370476
O, Z, 0.3612444361176859
Z, O, 0.3612444361176859
9, Z, 0.47550577431294483
Z, 9, 0.47550577431294483
X, Z, 0.5867033468995965
Z, X, 0.5867033468995965
k, Z, 0.4888466685793127
Z, k, 0.4888466685793127
r, Z, 0.3687647404219685
Z, r, 0.3687647404219685
g, Z, 0.56221176440105
Z, g, 0.56221176440105
f, Z, 0.36950330525606695
Z, f, 0.36950330525606695
s, Z, 0.3318881183523063
Z, s, 0.3318881183523063
j, Z, 0.34384939591748104
Z, j, 0.34384939591748104
i, Z, 0.3865656918956983
Z, i, 0.3865656918956983
e, Z, 0.4067981516217621
Z, e, 0.4067981516217621
p, Z, 0.36729446860765785
Z, p, 0.36729446860765785
q, Z, 0.38032784648661266
Z, q, 0.38032784648661266
d, Z, 0.3726954512419084
Z, d, 0.3726954512419084
h, Z, 0.2631529026201818
Z, h, 0.2631529026201818
U, Z, 0.3366555480375601
Z, U, 0.3366555480375601
4, Z, 0.4335031501695388
Z, 4, 0.4335031501695388
c, Z, 0.38227720644573615
Z, c, 0.38227720644573615
B, Z, 0.5303518989204715
Z, B, 0.5303518989204715
v, Z, 0.37863485347665093
Z, v, 0.37863485347665093
C, Z, 0.4429071541885608
Z, C, 0.4429071541885608
5, Z, 0.33456767939972254
Z, 5, 0.33456767939972254
T, Z, 0.4549160616615762
Z, T, 0.4549160616615762
V, Z, 0.45072419671525016
